"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23"
"5526" 4530.2 0.374808 8.6961 9.49928 47.498 44.124 70.4144 6.43247 4.23115 17.9621 58.0124 12.7134 7.87601 21.6084 37.7341 19.0554 12.8347 17.2666 13.078 5.94666 12.3557 24.0225 0.0629254
"4117" 4682.75 5.65536 4.68461 11.0237 13.5303 14.3556 63.8219 35.7173 36.3568 3.93777 31.6397 3.11427 65.1353 2.60874 27.871 4.66641 19.4046 18.1691 24.7862 9.50767 26.2425 7.44945 0.0397395
"3173" 4578.27 8.07693 2.70714 6.77886 46.3622 38.4763 45.4744 26.9908 24.1939 12.0118 35.9084 38.2053 29.5488 6.36313 18.6935 5.43881 30.7812 18.6751 10.2926 0.948584 11.7017 34.0902 0.0101469
"6671" 4618.55 7.16592 15.988 12.6324 26.8848 24.0185 72.6424 25.9429 8.20441 10.5263 37.8711 23.9179 21.1798 8.38372 34.3482 20.7378 18.5239 3.66666 26.0935 8.04841 41.2746 68.1443 0.0323728
"681" 4710.24 4.28852 0.0976475 1.35637 29.7927 7.90381 75.451 19.4812 26.2911 31.0224 26.6093 22.4954 22.528 13.8315 28.3057 27.8836 19.048 1.96254 17.6974 17.0494 11.4702 12.4985 0.17848
"2463" 4549.02 26.0342 13.9609 9.0148 10.6327 50.1696 38.6718 40.4621 30.2879 5.29354 43.809 7.86696 22.6268 29.3124 17.2069 21.8285 2.15247 13.8233 11.9796 25.8699 18.8338 4.92871 0.0728124
"3221" 4629.72 4.56807 19.6227 3.59735 22.3276 30.0705 61.1243 9.53431 48.7171 2.14903 41.7825 29.6387 25.6784 16.9201 21.3982 7.00132 3.57713 10.5516 11.3525 27.1853 34.6183 23.5187 0.0451097
"6849" 4484.25 14.17 10.5672 8.13127 73.7049 15.9317 40.7226 39.7785 21.2562 3.27381 50.6728 15.5191 14.2179 19.889 14.9705 34.6099 16.1411 27.8089 7.64299 9.39835 15.5564 21.3153 0.209415
"4766" 4570.18 24.9848 5.09868 7.77044 49.9118 27.403 45.3804 31.113 10.7477 20.2448 34.0642 7.77315 20.9058 29.2302 23.6811 11.5994 29.5412 44.4478 6.63187 9.42949 2.616 7.13548 0.00180198
"900" 4498.93 10.2587 21.776 13.9843 21.8119 65.5934 33.7242 23.2612 29.3241 2.09542 57.1663 5.27968 41.0133 13.7797 12.5029 17.4931 10.4487 22.1243 18.027 23.7324 8.73758 28.5443 0.000315844
"2564" 4713.44 0.835801 7.64697 3.6982 12.312 73.4898 13.8081 52.4227 9.20849 0.366512 53.8934 32.4295 21.8022 25.6751 3.87849 22.2884 8.72687 16.2669 16.163 24.9796 15.1452 46.3103 0.0667912
"2429" 4542.1 7.80071 16.3616 17.4719 22.5483 60.2798 23.4091 32.5676 25.4931 10.4605 10.9349 31.9846 67.0326 5.68129 20.2598 6.36555 6.50117 14.8457 12.9988 7.12212 50.4506 43.4153 0.0687404
"6245" 4601.82 10.5284 15.7276 12.0061 36.1684 61.5754 3.86248 38.9672 10.9213 21.1546 36.3281 17.4544 18.0923 32.3202 23.8044 6.27348 4.28275 31.5407 35.0904 11.4559 9.11466 16.7788 0.00788234
"864" 4558.58 28.1 6.93491 20.8866 3.76134 61.7066 44.0538 16.337 22.9243 24.6833 33.0034 11.5487 27.1832 10.5781 34.8744 22.1126 22.5649 4.00247 18.9442 12.0915 10.61 19.1512 0.0533163
"1741" 4465.61 18.704 11.373 22.1433 23.9767 71.42 29.7458 43.8185 3.98747 18.051 34.9447 18.2312 16.7284 6.85075 46.775 4.03126 13.0816 25.1922 26.7003 1.50509 37.6687 50.9414 0.0188146
"5643" 4524.06 11.982 11.8483 10.8154 53.7351 55.7073 10.1459 32.5527 25.4405 28.8935 30.9321 28.4321 11.5056 7.24186 41.3631 3.27053 3.05271 10.976 3.84987 24.5801 38.1233 8.86084 0.00493894
"99" 4551.72 2.36162 16.1945 10.0692 29.8849 85.4578 6.37091 27.66 44.0648 22.1537 11.4322 32.0711 8.68553 15.3594 38.1603 5.9589 13.2693 10.7065 16.5903 19.6407 12.9973 35.5592 0.0522727
"6012" 4593.8 15.2335 6.63739 20.9024 10.9799 37.6853 50.5977 33.3885 43.7288 25.2338 10.2214 25.8202 22.1777 15.5769 20.3702 16.1058 21.4747 5.27431 13.7025 15.7037 11.9296 14.3507 0.00925224
"6300" 4704.16 6.54587 10.4605 10.7376 2.52427 65.4718 25.4193 27.38 32.2241 15.4141 20.1177 38.5352 32.3829 4.01065 19.2291 11.4929 30.2832 33.4464 0.235871 4.89915 5.42607 25.4347 0.0088735
"2259" 4537.82 10.6389 7.75501 19.0962 52.5089 11.4306 72.4479 13.2668 5.65855 44.3884 7.38073 56.3527 3.77185 16.8701 30.2124 18.5971 8.16477 8.26112 19.463 17.1048 6.99666 23.4032 0.0150252
"5826" 4572.43 7.08787 18.8278 20.0495 3.92972 38.6231 51.6902 32.6002 15.6295 30.4845 50.2685 1.46034 24.115 4.89388 48.7687 13.2107 19.5498 3.07955 23.2795 13.1536 16.6423 15.5243 0.103952
"4008" 4578.39 20.005 9.2658 12.6455 11.2239 35.3066 79.4801 20.0876 17.9957 6.97985 37.4051 25.4747 15.6846 5.16097 46.585 7.70208 41.2843 24.2107 11.6524 1.28918 2.0554 17.9017 0.0176624
"2495" 4548.76 5.48229 31.4362 9.83993 13.4305 36.0015 36.2751 64.4927 21.1974 7.24338 47.6055 3.89087 31.1672 27.6925 13.7201 2.85503 29.15 41.2706 25.0478 4.50789 23.9439 33.6725 0.050101
"2251" 4530.14 15.5085 2.34538 24.3675 29.4097 21.1398 75.9802 18.9517 9.41639 41.8519 12.9994 51.3272 20.5666 14.9627 7.85251 31.2617 0.609608 5.52228 7.57099 24.888 8.85354 41.0703 0.0100403
"6464" 4583.75 19.0555 7.10122 15.2422 14.5472 51.3609 36.4394 29.0569 34.9864 5.54326 39.9881 24.8337 10.1233 27.4842 21.3787 14.326 2.13889 19.9583 22.0185 27.7235 9.15837 51.9405 0.00693477
"1236" 4516.07 9.74871 34.8776 16.7078 2.49985 71.174 23.5323 27.218 30.568 13.6734 39.1445 20.3045 33.242 19.4349 9.62189 13.9665 15.2805 12.8271 13.7978 11.9308 19.2104 58.3371 0.0731262
"2911" 4537.01 16.6828 6.88176 6.50691 28.9037 61.4877 30.5344 32.9347 4.84055 48.9714 19.4876 29.8286 5.84256 42.634 12.8643 15.4166 13.5695 3.84842 41.0735 22.6643 5.30444 12.6671 0.160038
"5525" 4480.32 0.377755 8.31848 9.15649 59.5047 44.124 70.4144 6.43247 5.53665 16.1923 54.3852 12.7134 7.97055 27.9663 29.3287 19.3343 21.7173 19.9536 12.3555 5.94666 12.4497 33.5663 0.0588592
"2034" 4541.55 23.7663 17.7727 5.53887 17.5346 33.5207 80.0557 6.31864 34.7339 40.7678 12.2318 7.13615 29.2691 7.63565 24.9578 25.0814 18.8137 9.14152 18.9702 9.32139 13.9184 23.8652 0.0914196
"6271" 4477.28 16.8651 10.6269 13.5652 36.6447 48.2583 40.2569 11.3639 29.3076 37.2897 28.1524 36.4978 22.5746 15.2119 10.2069 17.7582 25.9153 9.95573 17.5111 17.5918 3.81119 13.9204 0.0839902
"2449" 4534.5 29.7287 4.86362 20.2191 14.9308 51.4609 33.7657 27.785 23.7998 36.8687 25.8509 10.1135 20.5863 46.1293 7.14815 21.7049 38.8757 12.8165 19.0956 1.27388 18.5648 20.0007 0.00865364
"1333" 4527.77 9.72104 8.19496 2.84359 44.1858 71.6431 20.7622 40.3465 10.8272 15.4156 31.3241 25.3388 36.7688 16.5138 17.5375 8.63169 24.3993 1.32839 26.1365 15.4565 13.9305 3.9539 0.0464033
"3278" 4616.81 8.98252 13.3999 10.2314 21.5818 65.9131 16.6228 10.0402 50.1468 5.95716 34.8017 41.3901 13.734 18.9876 22.1975 15.3782 27.5686 3.62365 13.8268 6.28485 15.0761 0.295697 0.105778
"976" 4593.2 14.1181 2.39034 3.65195 33.4018 57.5375 37.023 36.5878 13.817 23.7488 10.7834 28.9984 20.3066 45.6682 9.38738 10.9072 39.0146 8.60347 6.81523 38.0376 4.93918 11.9029 0.0581798
"6837" 4564.76 4.89376 10.1551 5.55269 69.5606 27.3955 32.5196 24.4843 28.2095 12.6147 56.6013 7.57373 16.5552 20.5264 26.4353 22.3082 1.69856 6.53484 29.7696 2.04691 16.5257 12.6604 0.0351559
"3162" 4554.19 11.4447 1.70784 2.00035 49.4691 41.9344 52.6065 1.06811 56.3607 6.03854 26.9214 38.1745 5.36642 18.179 42.6358 14.1281 14.7445 3.70582 6.23596 2.22535 35.5338 15.1418 0.000736679
"1866" 4489.44 17.1103 0.693401 13.3463 38.615 81.7888 10.3156 38.4927 25.7204 7.89747 28.2742 29.3257 18.7364 9.76276 37.8607 27.3569 6.57664 23.5631 4.28563 18.2437 24.5118 22.6356 0.170697
"3133" 4586.48 10.3702 20.988 12.7128 26.0863 45.9035 34.2022 16.4165 44.8238 2.97456 37.1033 22.5863 19.9567 26.676 20.71 9.06255 21.278 1.53037 7.12936 10.1323 21.3389 35.5903 0.115843
"538" 4539.6 8.31201 34.0033 9.01786 5.52957 67.6245 42.2325 13.8969 8.79286 43.0343 23.51 41.4602 28.4269 6.96022 14.07 6.57836 44.9276 22.2855 1.63013 2.66757 11.4406 9.95368 0.15044
"2828" 4563.03 8.12362 4.44577 3.92071 42.7449 51.3619 33.5141 45.2579 13.6409 21.9205 44.0063 6.47938 4.59249 26.0675 38.6589 6.44293 10.336 30.6656 22.3341 5.74426 3.29143 1.48446 0.00818822
"1127" 4529.93 9.16655 13.5849 11.6333 50.0827 22.7883 68.7005 20.7513 11.8234 17.4191 50.1997 11.0317 20.2846 37.3719 5.99995 4.43114 4.66159 23.7689 9.66674 30.7515 27.3336 3.85232 0.00449611
"1208" 4439.36 0.909827 35.4897 5.64394 61.7706 47.7209 21.0603 38.4886 11.5921 20.4796 32.2143 37.5 18.556 15.8834 17.7187 20.5805 8.58672 6.34506 10.3483 17.8519 14.1366 9.66957 0.0244115
"2164" 4627.61 12.929 15.4215 1.96713 16.8831 8.29543 80.7781 27.2845 32.5666 4.56222 32.1917 45.555 28.6114 13.8143 10.4557 18.4767 15.2645 3.96678 12.1823 4.98006 38.1136 22.4615 0.0797757
"5218" 4551.88 10.7723 10.915 6.99816 32.3125 18.0236 62.2722 44.039 26.4242 2.93779 26.106 30.3729 26.2074 16.2717 27.8981 20.7129 2.47682 11.2665 2.48342 9.28602 32.5413 48.3936 0.214709
"6358" 4520.48 6.83797 30.2482 16.7078 15.1288 67.6515 24.1937 50.8026 8.235 3.41472 46.7477 7.18868 31.6504 3.2737 44.5605 9.27752 22.5792 4.29444 21.8646 11.659 19.9241 15.2588 0.00581012
"5225" 4546.94 12.6985 30.2899 9.82967 13.1309 9.70693 70.0951 39.0961 25.3794 5.25338 39.9737 25.641 22.3303 31.824 20.826 15.8096 2.99721 47.2422 4.5912 8.47308 8.57544 1.58447 0.137411
"3558" 4490.59 13.1456 14.0099 27.7218 20.6261 68.2713 18.6388 34.6526 21.6172 20.8056 40.3438 8.7344 18.2247 1.64108 42.0732 20.6668 33.5273 11.857 8.96322 6.50067 19.6459 14.3783 0.0377125
"3234" 4646.72 7.84415 9.86746 16.8254 13.1552 0.369792 109.625 14.7107 20.5496 5.36 39.4434 41.5226 23.4936 4.26735 20.7352 13.3631 33.3841 8.59402 13.2138 10.6704 15.4753 43.1401 0.0213931
"565" 4516.4 4.31327 28.0123 5.78664 40.8233 59.8801 17.5907 33.2126 33.2147 8.0525 40.8957 15.7358 19.6665 9.56362 38.0701 10.7715 27.34 10.2076 26.6338 9.57133 3.43801 10.0566 0.00287021
"2014" 4676.09 1.47969 16.3397 6.01594 13.4817 46.3584 43.9773 40.3342 8.41698 18.2197 26.0083 46.5527 9.81487 12.4477 33.5996 1.89524 18.0146 13.572 42.929 2.92603 14.4755 17.1101 0.040445
"6889" 4521.47 24.107 25.6513 11.314 7.90142 21.4589 41.8474 90.155 2.46322 14.2145 25.4379 37.3185 8.54309 12.9788 34.6001 15.4785 8.82928 15.3801 4.50418 9.66414 47.865 13.5766 0.129057
"278" 4605.16 22.5103 7.32355 9.84387 8.37876 67.8772 40.9261 8.46901 9.33535 30.9932 26.6833 29.9262 17.3643 57.2401 3.31201 4.47924 45.8174 3.01618 25.3283 5.24535 30.5748 58.9523 0.00658226
"3548" 4482.88 24.5197 17.6927 24.0247 7.76205 70.1421 49.2124 4.29644 19.9467 30.859 36.9189 12.7452 9.42535 9.03821 53.5665 5.10504 16.4296 18.0502 7.21572 25.6908 8.68052 2.37884 0.0281704
"3159" 4570.53 2.37745 7.80193 1.29431 46.7741 40.3939 58.6963 13.4393 52.0312 6.24423 26.4066 31.4261 5.36642 21.4539 32.1613 23.1969 7.37897 6.33496 36.0542 2.22535 29.6438 4.62735 0.000736679
"3414" 4422.67 35.2586 4.29654 34.202 15.7246 7.94075 87.1072 23.6199 23.1584 7.23738 40.2615 18.1237 27.7373 16.4958 29.2105 11.2404 36.2171 8.47184 8.89914 13.3356 14.5329 11.9947 0.0276796
"6177" 4589.96 12.6225 21.2497 2.87791 22.7294 62.0272 41.9224 20.7511 2.33215 23.0732 52.6002 9.64869 15.4805 37.286 17.998 18.9617 5.80447 3.95281 1.05351 28.8681 32.8832 6.48696 0.0681738
"3836" 4507.96 4.536 40.727 13.9907 9.30836 22.5369 91.1083 7.47778 37.7819 8.26885 29.831 36.4614 22.7943 1.12074 36.6814 4.93655 15.9242 38.5632 2.86791 14.3331 13.354 7.75863 0.00382088
"1727" 4450.26 11.0178 25.8485 16.391 20.2869 77.0762 19.8067 11.7091 45.7356 22.6336 34.5509 9.71685 12.0031 38.387 20.8337 11.4002 13.312 18.8576 13.9416 22.2155 0.0829169 8.17333 0.0687499
"5888" 4478.41 15.6008 3.62878 10.0997 47.7396 59.1511 45.8598 37.214 10.1732 7.15547 50.7685 17.1728 23.4993 9.33369 32.1444 6.00416 14.3122 32.7458 16.177 2.93567 8.75733 3.26684 0.0166869
"6020" 4612.57 17.4622 1.41288 22.9743 11.5341 37.4355 49.9631 36.4634 20.397 25.3642 14.6592 0.195059 67.8879 9.52186 18.0746 10.9709 7.91634 21.3118 43.8968 15.9741 18.6907 5.31895 0.104451
"6267" 4548.47 8.59925 12.2217 13.587 37.759 56.1404 19.1259 42.8762 24.933 37.0277 9.73743 43.7716 5.12559 22.3141 8.53437 18.7356 17.7919 7.58215 19.0061 3.02328 25.3561 19.3124 0.00298053
"4643" 4566.63 20.679 13.877 9.42096 15.4656 33.3372 50.749 39.1433 19.0872 23.1667 30.5277 32.5211 13.0196 18.5872 23.8185 7.34428 34.3838 53.1209 4.83255 9.65303 16.5178 21.7306 0.00368783
"1353" 4566.58 8.3109 4.70584 11.5619 37.0711 31.219 44.3146 43.457 20.4555 13.7705 55.0847 2.19403 20.1701 34.5421 20.1689 1.74862 11.9937 16.5783 28.051 25.5686 17.481 18.5062 0.0408587
"6338" 4646.57 5.84117 6.38868 19.1829 9.43528 69.0721 23.6169 30.7921 7.07456 13.3464 52.7641 3.87995 45.8644 5.59446 38.1593 9.49468 3.05038 9.95141 19.6347 9.73236 3.57279 21.8716 0.0316594
"6136" 4577.57 4.99661 17.9159 4.71646 26.8803 74.5266 35.1708 21.8779 13.3548 14.8951 40.5245 25.0071 6.67363 4.71237 58.64 15.5178 10.6791 6.75318 3.00459 35.7915 10.6436 17.948 0.00205252
"3784" 4565.04 1.38539 28.3887 19.8734 2.13 57.254 50.6018 31.5529 12.768 27.0537 10.3859 43.394 7.80753 37.6374 12.9355 8.45321 10.8389 29.8547 35.572 6.97177 5.59128 9.0248 0.0650821
"3763" 4687.52 8.45649 6.90069 8.68171 12.4133 48.3451 59.6355 11.1048 29.7986 2.31655 16.8368 50.9628 1.91991 16.7855 49.1952 3.05115 11.3638 11.4186 26.1026 11.7657 28.0552 24.577 0.0180894
"1247" 4590.73 3.68756 26.5613 11.0916 27.1138 50.8068 43.6254 7.69859 33.3395 8.49596 40.2493 20.0018 29.1666 24.4814 11.098 18.6361 1.3283 1.57113 57.9546 9.12905 7.05539 16.0301 0.0820994
"4215" 4520.63 5.65135 7.6284 12.5722 49.8042 54.5216 20.4289 37.7959 8.67318 40.7129 11.7272 38.3851 34.8316 2.7267 27.1535 8.27299 4.877 31.0657 37.8678 51.6881 1.87797 15.5403 0.0624519
"6577" 4628.31 30.2011 3.73811 5.18673 17.3276 55.7204 18.8317 44.1577 16.1858 25.4847 27.2185 32.3744 14.9502 31.8845 12.1634 2.86003 19.6046 13.1777 28.1497 8.79947 14.9474 6.28168 0.0949241
"3327" 4617.84 3.95064 18.525 7.74928 14.8945 35.7374 49.542 43.1079 19.7142 2.7992 28.1789 57.5789 18.3676 25.2217 24.6705 0.559826 15.5671 14.5021 4.82926 29.7519 13.3337 22.2358 0.061954
"3845" 4461.99 1.92225 50.387 5.57692 20.8743 13.6407 69.0174 31.4835 46.5392 0.653861 26.702 30.9494 17.0229 2.20575 51.002 17.9192 19.4825 7.92627 5.21045 22.9319 16.0833 9.8921 0.487582
"2633" 4546.97 5.40068 18.8819 8.44028 30.3256 72.4911 18.7864 35.5877 19.2524 59.9769 1.68135 20.1078 22.1747 11.312 10.0097 22.0934 30.1235 2.82189 36.1636 6.64288 18.5189 17.036 0.0400153
"495" 4503.42 12.193 10.8719 24.231 59.9079 18.1965 48.3598 13.9233 19.9044 29.3898 33.6173 10.6646 26.5147 10.5338 41.8626 7.6223 3.37989 12.0115 3.98812 23.7655 1.42316 32.4879 0.0279216
"125" 4507.39 24.2671 19.4083 16.8467 10.25 79.4024 9.20092 37.8228 26.951 14.8846 17.2293 52.9325 13.8521 23.3058 8.69506 27.1464 17.3838 2.66015 12.7802 34.036 12.3641 13.431 0.0797879
"5172" 4543.07 25.6242 15.1459 13.1165 5.65136 46.6236 37.5007 44.457 28.1324 10.5994 44.55 15.4063 16.4508 23.781 24.4674 13.5432 17.7123 11.1377 10.634 9.56922 12.6869 1.66288 0.128658
"3316" 4563.89 8.35278 34.3571 0.8602 9.51277 48.1446 35.4515 53.5119 17.3654 15.4279 21.8797 33.1162 12.8886 32.0796 5.59014 15.2639 24.0784 8.69481 19.7468 8.24435 44.5178 2.58459 0.132569
"5778" 4695.46 10.8012 0.41203 9.10366 24.1618 57.5466 23.9473 27.3045 19.3064 30.6694 28.8627 22.7325 19.6485 40.1515 2.5111 17.5731 12.9557 1.52029 7.82076 20.948 15.0595 1.13886 0.0816878
"3733" 4593.25 9.76229 21.4898 2.67797 14.6204 73.4011 37.8481 11.0419 30.7451 7.06168 23.9231 16.7977 35.0588 16.7446 43.0657 5.09633 19.1999 34.817 3.41314 8.88031 9.75728 21.6848 0.106611
"6596" 4583.81 14.3842 17.0215 0.709825 39.4142 55.5923 13.8891 44.8785 9.40368 30.3834 25.0795 20.4729 4.89783 39.7463 21.0776 20.2031 12.2762 3.46423 24.2344 7.76071 18.528 38.6248 0.244138
"4868" 4635.25 2.33312 15.8141 11.4382 15.8901 50.8539 37.024 25.348 16.9272 52.6111 17.8997 30.5472 9.91269 33.3542 13.8641 1.99242 4.08392 3.38162 23.8048 23.7618 6.03507 83.3769 0.00921472
"2180" 4537.73 6.43781 26.3731 4.87476 23.1391 10.0956 80.8055 54.9635 16.6152 1.5786 8.18389 26.4899 39.2727 21.9932 27.4527 16.7155 17.8251 11.7991 7.69828 24.2252 22.1573 29.4951 0.111076
"6600" 4647.6 17.6609 6.29377 2.361 37.2342 55.4928 4.56382 44.621 21.647 31.4914 25.3416 21.4793 4.89783 35.4957 17.3287 14.1671 3.89018 16.5149 5.59032 19.6957 15.9905 58.2147 0.0048274
"6123" 4450.05 22.5343 9.0527 3.42995 49.9794 75.7131 25.1721 25.5633 13.5805 12.7526 49.2994 15.5235 20.1309 7.75291 20.5643 12.0098 23.0478 1.10769 2.09776 45.4294 21.8205 43.7626 0.121283
"4135" 4682.64 0.997395 3.11675 4.73328 28.8533 9.7188 75.7852 49.1621 9.02778 16.9777 21.9413 1.75022 59.1272 10.3058 24.9354 11.161 21.2536 18.1429 19.343 21.9302 17.5667 50.1789 0.0370302
"4312" 4486.63 1.31676 39.6118 21.3505 12.9297 46.5945 57.2287 10.3734 42.5184 5.29832 33.3089 21.0856 20.2917 17.7309 26.2024 16.0822 22.0634 39.3622 30.254 4.90778 0.0746841 9.9011 0.130277
"3819" 4554.72 3.71278 15.9136 4.76102 52.5768 39.3708 36.9917 19.0846 21.8421 28.5564 43.8875 4.34451 26.0317 28.3334 21.7962 11.3885 18.886 6.59908 23.4003 12.3499 8.1602 18.487 0.0878079
"3765" 4688.66 6.95951 6.51975 10.7336 21.9634 31.3767 59.6355 18.8094 40.804 2.95976 6.19653 50.4296 13.3363 21.611 32.1147 3.80882 18.5211 22.4336 2.71088 7.74461 23.8804 32.0096 0.0385355
"3458" 4474.83 15.1484 46.0935 5.70767 25.724 41.014 27.8332 36.4281 25.6008 12.4674 13.8307 21.1715 47.6177 6.22183 36.4052 6.34278 13.6925 17.1916 51.6745 19.1767 2.02521 9.262 0.0999457
"6639" 4550.27 3.44123 21.8764 2.27711 25.0855 81.4653 38.1716 8.04467 21.5471 18.1695 31.0491 55.594 6.31049 14.2727 28.289 4.169 5.2948 13.3303 19.653 11.4329 30.1785 5.16266 0.0242799
"3707" 4594.17 16.792 6.49015 26.1609 0.225507 52.3542 66.6705 8.27968 13.3128 34.5012 26.3254 32.2363 21.3056 24.4021 4.4489 18.4617 26.0436 1.71035 8.35822 7.3702 11.2383 43.439 0.00886462
"1341" 4502.93 7.77158 5.35481 19.9198 29.5234 74.2273 27.6666 44.9985 8.8272 2.52269 45.1849 30.8017 3.78292 31.9209 20.7819 15.9745 29.518 5.96409 13.3765 5.40828 34.2581 20.5888 0.0433356
"1809" 4512.84 3.79905 28.1243 32.2181 1.38682 72.5996 30.7436 13.7566 44.6845 1.84806 43.0532 40.6244 1.94462 15.0803 25.9599 19.2125 5.38731 15.6343 33.9584 3.46632 9.29133 42.081 0.00152836
"1144" 4513.77 1.04853 6.98138 26.6226 35.9924 5.61203 77.923 35.8082 14.0753 6.59506 62.5705 10.8339 10.3276 42.7992 13.487 12.6685 20.6107 9.12742 4.8171 23.4743 26.2015 3.82774 0.268271
"5263" 4565.19 37.7138 7.44228 4.26526 6.63267 62.4088 27.3997 41.3636 30.6127 11.5259 10.9573 16.6827 42.1098 19.2276 26.7311 1.71344 8.07495 12.2129 21.6832 30.4252 22.4138 121.358 0.00764159
"3486" 4555.01 5.08348 36.7741 5.23005 7.72363 58.793 58.8252 22.6375 3.26732 28.7821 27.6896 35.9645 26.297 3.73978 27.6587 5.0949 2.31509 11.946 6.13509 29.6024 34.2498 27.118 0.0559807
"1145" 4513.77 1.04853 6.98138 19.1695 35.9924 5.61203 77.923 35.8082 16.7268 6.02512 62.5705 10.8339 18.3911 42.7992 13.487 13.7084 16.8913 13.9054 27.1367 18.3592 42.224 2.5559 0.336506
"1601" 4509.51 25.3293 6.72535 15.7841 34.1134 13.0192 81.0133 15.1552 51.6612 20.1072 18.2437 7.61279 14.7181 37.0183 16.2195 16.8742 15.7157 50.4612 6.53547 21.0595 6.2378 28.5805 0.0642918
"5632" 4485.4 24.9634 18.7832 19.6187 13.215 62.373 31.1078 30.3941 18.0982 11.4174 36.56 37.0958 4.50419 20.2442 37.4941 8.88564 2.9149 18.4405 18.9044 29.3455 22.488 21.2749 0.163507
"5125" 4649.49 4.4558 8.00726 13.8716 26.8742 16.8761 82.3579 22.5681 12.4098 9.79672 51.0689 26.0118 17.6398 13.0467 23.6467 12.4716 4.25545 12.0989 3.77737 32.8292 35.993 52.1726 0.00791156
"329" 4577.08 22.7316 6.6118 16.64 9.75592 32.799 61.4694 13.5012 39.9717 16.7038 13.5432 51.5299 16.3242 22.1269 18.7285 16.5112 12.346 24.9962 4.55566 16.5853 26.3469 18.8159 0.206537
"955" 4563.39 13.3517 21.0408 5.87404 21.4746 19.8968 82.872 34.6176 7.67887 6.45119 42.3716 22.7112 14.2453 19.842 26.1867 24.2674 10.2041 6.444 5.62598 23.6488 24.7407 25.0955 0.00858673
"502" 4476.86 23.5701 30.7183 2.27989 43.6848 9.16674 74.8089 19.7586 16.9819 26.0853 20.3773 6.44109 39.0966 11.7006 37.5543 6.91108 25.2223 6.13542 15.3557 14.803 21.4314 8.7591 0.0261858
"4261" 4499.41 14.6231 33.1999 11.2569 16.733 77.7824 8.60372 40.0535 15.5159 8.41258 46.7397 14.3741 32.5687 11.0694 18.3349 23.3863 22.9989 6.21587 11.4709 11.279 2.75259 42.6929 0.014565
"3531" 4580.93 4.13936 20.0562 16.1364 14.2042 73.9131 17.5144 37.7826 9.99594 25.4051 41.1777 32.0038 23.6741 2.23946 19.2278 9.47538 12.9125 20.7562 9.98261 13.5556 27.6602 6.45305 0.0123698
"3283" 4574.12 7.50699 10.2812 6.42945 24.2669 52.6756 40.349 27.4613 50.8044 9.76613 15.8298 41.9616 18.106 10.0133 27.3199 7.38174 4.85323 13.9514 1.64771 10.9795 2.55388 31.3975 0.169889
"823" 4667.25 14.0583 8.00825 4.51342 19.4783 67.3437 12.1025 41.8262 15.0131 10.3454 29.816 28.2375 34.5497 24.8994 3.31895 19.2843 16.4489 11.473 9.01658 6.92171 36.2029 14.3971 0.060384
"6389" 4452.75 2.18737 40.7336 29.8169 13.5837 38.2007 60.6877 20.5845 25.0682 18.3073 21.5422 49.482 17.4665 9.07177 19.8084 29.064 5.84313 9.80877 23.9203 4.97715 44.3478 31.7647 0.00335812
"1442" 4502.88 14.162 8.6839 38.8118 10.9404 46.7714 70.4639 7.40353 30.2953 3.30804 50.5542 3.33523 37.6294 4.91152 33.8698 7.96299 1.95487 9.07717 36.6869 13.5766 16.581 24.7109 0.0336173
"3986" 4251.54 10.7738 90.9871 4.72509 14.6857 6.06761 104.415 35.434 3.56295 24 28.7376 22.497 9.41731 30.2752 11.5711 21.5072 28.0342 3.20734 15.2064 16.0203 12.5786 19.7566 0.195659
"3240" 4626.98 15.6495 11.9835 7.31107 10.9668 22.9331 86.0459 18.9186 17.723 26.2446 34.6659 26.5915 9.08402 13.0713 32.5846 11.1712 24.8097 2.12105 21.274 10.1205 11.7618 20.3165 0.0114103
"5716" 4481.84 17.0483 33.0921 14.8293 10.2137 53.721 42.001 23.4102 26.6019 18.3571 38.6959 27.2029 1.81802 17.5186 39.6828 10.3537 12.5745 18.3423 2.49777 19.1529 55.0633 59.071 0.00371481
"2954" 4623.15 5.81833 16.9061 10.1264 10.0011 60.846 21.6092 39.3604 37.5454 3.36175 41.1466 39.9399 3.58206 25.3347 17.21 7.13481 11.3393 8.23316 42.5492 6.19135 14.626 52.4921 0.000620144
"5662" 4645.62 8.94013 14.1644 11.4317 6.65564 68.7129 16.7267 37.268 34.6398 6.0151 25.811 43.744 12.5894 9.84332 28.8063 4.64411 11.2077 47.7901 0.297108 9.50026 11.5016 11.0542 0.0669195
"1437" 4536.87 8.66622 1.65642 30.3877 19.5141 71.375 21.0353 30.5746 33.0276 4.6655 38.9871 26.9097 10.828 7.49852 9.34967 44.5418 41.4807 2.8075 7.63636 10.5292 3.50787 24.043 0.0281064
"5306" 4561.31 24.442 1.14888 31.3348 6.46099 19.0267 54.4376 44.9984 37.6483 14.9589 7.28778 14.1604 34.6753 25.9487 31.7602 22.7884 7.20598 34.8661 10.3664 2.42576 0.116576 32.4149 0.0635058
"2578" 4637.34 6.95657 17.7457 7.10583 16.8935 57.6336 32.3501 39.2138 22.8103 4.16832 3.23879 28.501 51.7755 20.4634 20.6651 14.8479 19.0335 18.1217 7.88333 12.0633 30.3697 5.75275 0.186864
