"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23"
"2447" 4556.73 28.9201 7.56042 17.4113 18.3433 48.8297 33.7657 16.435 32.1553 28.7735 25.8509 0.639916 31.1229 51.4531 3.71088 7.14539 27.2407 9.03698 16.2801 11.3322 31.3268 29.6791 0.00510457
"3948" 4608.25 3.93485 31.109 3.39519 12.2564 40.9477 46.5762 44.4805 19.7794 12.9468 39.5228 8.83824 38.8063 9.3917 21.4307 17.2845 53.2649 7.96667 1.27404 6.11641 4.08131 39.3743 0.0630578
"1149" 4535.21 8.22114 4.48044 19.0397 31.9807 87.201 4.7056 42.9874 9.44479 23.8739 10.9961 32.4211 26.3339 6.7944 37.5353 16.6568 0.961599 22.7162 14.3906 24.7219 20.8152 7.15126 0.0323941
"41" 4535.27 14.309 0.234183 6.46803 43.4805 31.4889 56.9991 39.1808 25.3504 9.16097 38.1429 17.4137 45.8453 2.86972 3.12773 37.7525 32.1176 3.71678 18.4471 35.4238 13.2264 4.91337 0.089101
"6258" 4543.02 21.5731 17.352 12.5752 43.1403 31.5795 9.08392 56.6382 18.8028 17.6294 32.7437 31.2785 4.734 38.7765 11.3494 20.1462 11.8677 2.17407 29.3789 17.3397 29.017 11.2847 0.0566472
"3826" 4645.24 10.4784 13.294 0.517761 34.6452 38.67 56.4482 13.3745 26.0723 39.8343 10.4509 21.8067 7.41443 20.8358 35.5106 11.7349 5.48629 8.30993 15.7741 1.05039 20.5738 11.5589 0.124877
"5839" 4395.57 22.237 28.5295 10.5554 31.0482 25.2186 88.1078 12.3988 17.7775 25.1982 18.0738 30.3982 29.8613 2.71546 25.7824 21.5969 4.10915 18.3849 19.8667 22.5353 15.7218 7.19727 0.00653649
"4348" 4558.93 6.28662 30.7276 12.0453 8.28442 78.9424 26.9279 24.9046 16.1245 9.11456 32.6816 32.9516 34.1836 8.26105 23.3379 19.9335 41.5423 24.5956 7.52965 8.70298 14.6433 35.5617 0.00250725
"1463" 4529.46 15.281 3.47349 20.8222 26.5371 68.3801 40.2359 11.8438 19.8258 21.2127 8.42882 48.3404 51.502 3.99076 11.0579 15.5959 24.3248 25.4479 25.8751 3.7532 5.44977 35.4901 0.00919929
"3861" 4658.58 22.1361 5.3112 1.01761 7.99488 38.227 60.4486 41.7206 6.22936 23.3096 38.7505 8.98184 18.3031 16.984 28.6635 17.707 41.1953 3.80857 19.1106 9.70301 13.7444 1.8041 0.114966
"2788" 4535.86 19.3174 17.3643 13.4295 35.666 41.6728 47.0796 16.1066 11.8374 6.60415 42.9808 34.1675 23.7941 1.96757 43.3594 8.46861 18.8455 17.2413 20.2403 3.36933 22.9747 7.46725 0.073389
"2986" 4530.37 32.0085 11.2592 25.1839 10.1241 61.7073 40.381 7.76693 30.5378 1.81633 47.0055 16.9105 28.3008 6.41987 30.186 27.0877 0.756513 17.5471 37.4081 11.5537 32.8898 11.8514 0.113932
"65" 4498.9 36.0553 8.05059 24.7589 34.7415 24.2551 39.07 38.8666 12.384 14.481 40.5535 31.4803 11.5665 4.14658 43.8873 13.7693 8.57179 5.69229 28.3726 21.6362 44.2236 18.9389 0.114883
"1788" 4563.27 6.52097 22.6521 24.2149 21.8532 36.5226 62.6468 24.3374 20.9487 9.29982 8.16951 24.4126 35.4312 35.4103 9.22982 13.7763 19.1708 6.09769 48.3852 11.7195 5.44431 5.47878 0.0471897
"5443" 4683.59 1.71297 4.93578 13.0785 9.30676 65.1359 48.9623 22.3557 6.51012 24.1088 41.0328 15.4185 18.0881 35.3187 14.9848 0.187985 31.0315 5.42351 10.2687 1.98934 22.1179 27.5758 0.118599
"516" 4462.13 15.8585 27.7114 4.77876 48.0126 30.7654 72.7781 7.96266 26.9461 2.5357 36.2261 23.238 33.1806 28.7819 6.43447 12.1705 3.0705 6.70137 20.8544 44.6832 5.19545 34.9746 0.0307524
"119" 4517.67 29.514 21.2164 5.89784 9.4839 78.0349 14.8016 29.5057 30.5252 19.1018 20.4244 39.2607 5.09909 40.6936 7.43961 20.9841 2.58215 25.4613 6.48662 31.3431 7.64664 25.0847 0.0550493
"6876" 4547.81 17.0304 29.467 3.31472 6.34852 25.6198 32.1069 96.4754 1.85947 11.5114 34.7941 29.0256 10.5031 21.236 33.1766 4.88083 43.4327 2.67454 14.9402 13.4112 20.1441 3.26615 0.39687
"4410" 4385.35 15.0148 58.0051 8.60688 8.98547 61.7519 50.1448 13.6029 10.608 38.2786 29.8787 3.35147 27.7687 10.5385 44.1548 2.86145 4.39604 5.70066 9.66132 16.2158 29.121 6.08178 0.0684481
"5642" 4496.21 11.982 18.2147 10.5888 53.7351 55.7073 10.1459 33.2821 25.4405 21.6033 30.9321 28.4321 15.4083 7.24186 42.8528 3.27053 3.05271 4.62441 17.1971 24.5801 33.7546 13.9722 0.00493894
"5790" 4704.06 8.10251 12.9812 1.6059 5.70836 62.4262 30.6131 32.1224 23.8784 11.3327 45.5895 31.0447 9.18816 22.8174 22.8913 3.68237 7.084 29.3891 26.9436 10.3329 15.1909 6.25602 0.00118317
"1444" 4485.39 12.2327 12.6895 38.1142 8.3558 57.7276 67.5236 6.19869 16.0109 16.7782 47.011 4.8678 35.3357 19.2469 13.3703 12.2697 8.45174 53.9047 20.1701 5.80528 38.8103 30.9456 0.0123715
"3420" 4422.67 34.4369 8.42972 20.5194 31.6008 3.6528 89.6974 24.4193 22.7347 3.8944 40.1707 38.5831 25.1153 13.2462 18.537 15.231 6.56851 21.8029 4.14577 25.9046 20.4723 39.3998 0.0703764
"2193" 4549.97 6.8968 24.5498 5.88806 24.5315 12.6287 78.1129 35.0963 19.5261 42.7492 13.3783 12.2866 22.0845 33.9957 17.0902 2.41021 17.27 44.106 8.05246 26.078 5.54235 56.2739 0.0225208
"1003" 4515.76 9.00745 21.2756 9.93323 32.9406 70.0629 14.9823 40.6142 12.7661 11.347 38.5949 37.0288 13.5647 7.6812 24.3234 25.1349 13.3846 21.0232 4.13098 18.3865 30.436 5.6582 0.0357336
"952" 4648.24 12.1461 15.0567 5.87404 17.531 19.8968 69.6758 36.3297 14.6743 3.8491 41.2666 22.7112 14.7897 13.5387 38.9139 7.39136 22.6952 16.3439 12.2042 20.6236 6.63029 17.1293 0.0105359
"1782" 4546.46 6.04546 32.0346 14.7636 31.6321 19.2187 57.3886 20.0974 35.745 3.84901 8.35309 39.7493 47.6354 13.4097 25.6917 13.9736 3.21589 1.89082 35.4983 6.04996 28.9692 26.3161 0.095632
"4094" 4589.79 14.1459 13.093 8.79014 40.7627 31.3855 60.7788 22.4648 9.80267 23.2755 6.98327 32.4106 44.3468 3.01336 29.2435 9.35984 8.43004 10.8369 15.5998 21.9521 27.0612 2.04377 0.0158592
"2523" 4610.98 8.99501 20.3574 11.5873 3.68496 60.6744 22.8439 59.0614 9.28822 18.3122 27.0244 27.2311 25.2188 23.7972 17.7563 7.76299 5.75363 15.2335 5.08207 24.7062 15.7402 35.735 0.0358384
"4570" 4616 13.6481 12.7489 13.6432 7.71688 56.7857 65.2048 0.780036 21.3242 20.3267 5.70098 51.6698 34.6452 6.85534 26.0083 7.35917 4.9999 2.74504 4.2576 8.36259 85.2055 1.0683 0.000412067
"2303" 4516.66 2.50238 8.27192 3.22325 71.2114 43.1093 19.4758 49.9464 9.15493 24.0866 31.6 22.1021 45.316 17.5767 3.29947 9.12798 20.2193 11.6227 22.4733 26.0419 9.93865 9.77358 0.00266832
"4143" 4639.33 0.816498 3.29537 8.34121 35.9121 20.7853 58.2704 44.1662 4.07009 37.3277 39.6123 5.92059 35.3938 20.6505 18.0038 9.3162 21.6833 23.642 29.4044 8.06987 27.6313 8.07031 0.00459085
"1185" 4568.85 9.37536 2.31417 8.56558 45.9527 32.2764 38.729 39.2807 31.6761 26.2558 27.1259 28.2616 16.1819 12.3016 8.31847 10.777 38.0102 3.43967 23.3196 9.01114 17.2289 28.5257 0.259241
"1391" 4575 3.5637 15.4578 0.755844 33.5665 21.1269 62.9171 41.2802 8.30684 34.9214 8.44441 9.64043 81.1884 19.8116 2.0222 4.78122 15.6878 13.4156 46.9031 20.6034 11.5927 16.4737 0.16687
"4847" 4547.95 7.40473 10.7283 12.366 28.8594 52.3846 67.2337 7.63175 25.2485 4.1508 21.9305 40.9981 29.3895 3.31939 20.842 21.9256 2.65747 56.2965 2.83394 2.22579 25.496 32.4198 0.0133767
"984" 4521.58 4.94421 37.818 11.2785 29.1647 24.5863 39.1719 51.5982 15.8115 25.2734 19.008 14.2551 54.2247 18.7421 4.2266 21.474 9.54483 28.6078 5.40305 7.44815 21.1973 25.6479 0.00591483
"6997" 4458.71 21.1707 20.0104 5.58371 28.8623 50.5447 43.2435 44.3341 13.0828 3.28309 52.8158 16.4072 15.0577 12.8942 36.3921 6.70936 5.37038 10.7557 34.5206 20.6008 29.8307 11.2934 0.026399
"1065" 4577.89 4.91346 8.00475 10.7218 30.3527 63.1711 22.1349 53.6037 9.48288 23.7704 22.3512 33.3013 28.3159 17.8092 16.0274 4.46607 19.6737 4.55496 13.1729 14.3758 24.1645 7.06878 0.105029
"1021" 4547.62 8.19546 18.2149 6.90725 19.6904 74.7923 16.7197 56.6788 1.59623 19.0374 51.2859 5.28923 1.96782 55.3666 12.587 10.2487 12.2408 41.3829 15.5857 0.621211 5.41419 34.8121 0.04741
"2930" 4648.52 9.42137 17.2403 1.42691 11.3093 84.8566 10.4913 37.0185 22.8103 12.3199 2.52898 42.2392 11.1835 19.9709 49.473 13.4086 10.5688 3.83509 35.5072 14.8672 18.5631 44.1156 0.0230706
"1789" 4563.27 4.24348 22.5152 24.2149 12.7641 36.7225 62.6468 24.3374 17.0793 9.26272 15.8105 24.4126 28.3679 35.4103 24.0561 23.6089 20.7737 6.08075 42.4915 11.3255 21.9676 5.47878 0.198958
"2841" 4583.26 14.2348 14.7542 14.8217 14.0986 48.6612 38.9263 34.8114 22.8288 33.4635 20.7138 12.4484 14.3063 22.5886 31.3243 22.8252 7.56674 4.18893 15.1177 19.5845 15.9528 17.1801 0.0622225
"3178" 4588.69 6.53316 11.6614 5.62 34.3528 42.9616 45.4744 34.4086 12.9911 15.5681 31.1686 32.8253 23.5358 25.1813 15.9778 13.1613 28.7252 3.47012 33.8224 14.0744 23.7181 16.3902 0.000338051
"2975" 4569.11 5.34988 24.4495 13.9387 14.9852 57.8782 31.3237 5.94139 49.4637 9.27957 6.48804 27.6 40.5195 14.7425 19.2428 28.0582 32.1375 3.20609 20.0944 2.32016 9.3842 36.368 0.29508
"2644" 4531.77 9.71699 15.2199 11.9972 24.76 64.4513 42.9547 17.0374 37.3372 42.6447 1.68135 24.7269 26.0829 3.74275 31.8298 16.0591 28.7623 14.2666 25.5935 23.4566 3.2236 21.3255 0.0354911
"3492" 4496.67 10.7605 35.4565 16.6068 6.11665 55.9568 61.0423 13.6197 2.02591 37.0614 22.7757 30.7097 26.3384 3.24892 35.8298 12.9056 8.06644 2.76369 43.1478 25.4443 4.95271 28.0318 0.117498
"3147" 4578.69 9.58193 30.0956 1.15537 26.9072 55.9841 14.7079 14.3274 61.4635 11.2443 34.5169 17.1754 3.74849 37.0873 22.6065 21.1362 21.1289 13.2147 17.1711 7.98581 3.74004 27.9821 0.0650057
"3705" 4602.36 16.9173 6.49015 22.9001 0.225507 52.3542 67.5053 8.27968 10.6924 34.5012 26.3254 37.2018 10.3283 24.4021 6.43372 9.40851 22.542 21.5916 8.35822 13.4689 17.6869 20.9404 0.00617618
"2919" 4540.81 24.7629 0.600864 3.97598 35.779 69.1029 17.4374 49.5777 8.88649 22.5164 25.9127 37.5008 5.84695 20.6081 28.9526 11.9918 14.1426 2.809 24.7013 31.7428 5.00884 12.3088 0.0341508
"5084" 4650.19 19.294 11.6116 1.23692 34.4073 23.6461 57.6378 11.0682 19.5176 8.30736 53.3648 20.8673 27.1526 15.844 22.1282 26.7228 24.966 16.0742 4.56221 6.26543 18.6002 16.3952 0.0838013
"462" 4594.1 2.51386 10.1483 13.145 25.8741 22.1547 59.3436 53.5457 12.9438 12.5848 24.5653 11.9449 37.9904 9.12427 38.3352 28.2269 25.2368 5.96568 5.85661 3.80739 30.8131 41.5256 0.0276199
"2808" 4538.45 17.8554 12.9229 23.4208 3.04519 50.271 75.1623 7.55599 14.9223 11.8175 39.6703 40.3469 18.6992 20.0254 14.063 19.102 10.2303 9.13198 13.4081 21.4872 7.83439 6.6503 0.0919302
"1113" 4540.57 20.0013 13.3628 4.88874 32.6204 12.6416 72.5133 34.3872 22.5998 12.1701 27.0348 14.7646 53.576 13.7334 16.3489 10.2768 24.5929 27.7168 4.4125 16.13 5.07942 112.032 0.0707078
"3449" 4453.46 19.3264 40.8994 9.82794 9.31014 63.805 26.6047 36.4281 16.4581 18.6621 48.8674 21.7751 14.5787 1.21447 48.9845 2.77502 18.3668 10.7033 13.7568 3.66208 2.10831 47.445 0.000622098
"3559" 4478.59 17.1483 14.5429 25.588 23.5799 70.3555 18.6388 22.3456 27.0437 14.555 49.4323 12.2659 21.4816 4.15133 42.0732 24.9179 21.8651 11.1143 10.4884 3.67889 25.8838 38.0905 0.0207629
"4904" 4540.62 0.535877 15.6449 3.08648 44.0921 60.2999 19.507 51.4385 17.3693 26.8596 5.44295 53.0723 7.71995 5.41703 38.9303 12.465 19.9779 22.3744 12.8859 14.1866 29.9791 22.7388 0.0504659
"2631" 4546.97 4.01033 15.4376 6.61843 40.2845 72.4911 9.23633 35.5877 17.9043 59.9769 1.68135 19.0648 27.126 14.8013 16.2385 30.1055 4.15662 2.82189 20.5089 0.891652 10.6792 13.7693 0.108986
"6015" 4593.8 16.7831 2.61833 21.7907 10.4641 36.6599 49.1805 33.3885 24.1038 27.723 10.8807 20.1694 46.0526 16.04 24.6342 15.9827 17.94 16.1654 24.7348 16.9396 23.2448 6.75188 0.103336
"228" 4740.95 6.80841 3.9582 0.262002 11.843 50.1173 42.2247 47.0377 4.93896 4.88355 39.3555 44.1481 21.0695 13.2866 17.5936 15.3729 29.7837 8.93029 17.4872 6.91743 15.6682 31.1911 0.0531072
"6345" 4594.92 9.31787 12.4909 18.2329 4.56982 96.6364 3.35957 43.2096 12.3488 8.61514 56.3055 0.766373 16.7208 15.2212 20.821 22.9314 39.7505 7.59635 18.4997 4.25695 19.0384 40.1798 0.0554887
"5852" 4471.7 24.1252 24.8452 16.5752 11.2728 2.56371 87.3464 20.0536 55.4677 8.37119 14.372 54.0357 3.64866 15.6045 28.0406 13.3685 10.0608 2.78583 1.79111 8.89923 60.0796 5.78353 0.004769
"694" 4676.1 5.87157 0.991915 23.5059 18.2027 40.7725 33.9633 18.3167 21.0933 38.3222 33.866 28.0677 25.4218 14.5548 4.56879 39.8487 3.80699 44.3853 5.23517 4.52343 10.181 3.35212 0.0323409
"6624" 4546.25 6.18476 11.5477 8.70142 29.3062 75.2232 13.3647 34.6617 12.7463 12.8703 52.3173 36.7969 14.1681 33.6039 2.00724 11.1201 19.8038 10.3443 2.59926 9.61165 50.0814 10.7909 0.112999
"5335" 4633.1 22.6394 7.23991 6.04249 9.86492 65.236 22.2007 32.6258 31.1626 18.6939 35.9533 11.2656 21.3193 40.8874 2.64742 29.3448 6.25852 41.1215 32.1399 17.7886 11.301 12.7357 0.0179528
"3437" 4457.81 8.04912 43.959 19.5748 3.32669 77.7265 23.2291 21.5166 27.839 5.69105 35.5165 35.854 13.5185 10.4514 43.9386 12.8102 20.5935 16.0809 6.59515 4.64411 24.4076 40.6955 0.0434187
"1511" 4443.13 2.12498 15.6441 13.6917 61.9326 50.6505 50.1529 15.6031 20.9356 12.7188 25.5802 2.83187 69.3079 23.7462 2.70683 10.0728 2.08371 29.0703 19.038 31.9772 17.5385 2.27462 0.018034
"4896" 4579.16 9.24737 25.0774 11.9364 22.9963 48.4809 26.6196 30.8701 25.3737 52.7478 11.5769 8.53223 18.3625 8.00366 48.6724 7.22637 11.8273 9.69707 21.1987 5.48269 28.0072 35.6539 0.0130193
"4849" 4549.59 7.40473 10.8108 12.8677 28.8594 52.4824 63.6811 7.63175 24.1513 7.68354 15.6396 69.9552 29.4506 3.77518 9.43046 16.9652 0.301345 0.502297 4.19179 48.798 41.7513 4.76776 0.014905
"747" 4632.54 11.5012 3.71523 19.1727 5.09502 47.13 75.923 20.4359 7.6128 15.8225 31.1191 33.4823 15.7125 25.4224 16.9352 6.2476 5.73938 25.4485 22.5982 12.6392 17.4527 19.0602 0.144813
"4492" 4570.44 11.5511 33.4958 4.7934 5.36731 73.8372 43.2869 5.10253 42.1709 14.8755 30.4062 4.49938 19.6696 14.9096 41.8776 10.7312 1.47007 13.8379 4.76097 27.9021 15.8288 22.3787 0.0101746
"2203" 4604.12 12.7144 16.7523 3.54195 20.8195 4.50003 74.0662 37.7476 33.5596 45.2985 9.65962 4.2004 23.0769 16.1132 47.5032 1.44459 17.6063 15.3504 10.1714 3.00494 33.2411 16.1881 0.165164
"175" 4570.08 5.77903 29.2793 7.14935 12.653 58.9054 48.681 19.194 1.95921 35.3767 55.6138 7.39027 33.7866 7.91802 19.9349 14.7949 7.76103 26.2002 9.15175 32.1974 19.3107 7.777 0.154774
"4034" 4518.78 27.6284 18.5493 13.4042 10.0236 7.97602 109.347 8.26067 4.16993 45.5581 21.6897 36.266 19.2669 13.5209 18.4746 17.017 2.82001 16.6293 13.4257 17.1585 23.8458 4.13562 0.208072
"2694" 4512.36 9.95863 3.61601 14.2478 37.4715 84.4187 6.76369 26.4073 22.6162 10.4928 7.44875 47.0444 28.9722 8.97416 51.8994 8.89836 12.1722 28.6914 2.97128 20.8033 9.75814 10.5154 0.0251625
"798" 4627.69 15.1023 9.78956 6.85604 11.0264 76.1112 16.4551 44.4137 7.83411 12.751 35.823 30.0034 12.9372 31.2998 12.9056 7.95436 26.0506 15.8594 11.7961 10.6269 28.3299 19.1501 0.135791
"3155" 4595.45 1.7615 12.7132 4.47713 31.9531 62.2561 48.6663 7.73188 56.2699 3.72524 22.6448 29.543 1.56894 18.351 20.8328 39.6823 13.3091 12.8145 22.0145 12.5931 7.53594 6.19655 0.00408092
"1918" 4570.51 21.2652 13.9808 8.07258 17.6955 62.7298 28.8025 32.8145 1.96438 24.7995 52.292 17.2508 30.5 19.2716 12.695 9.67856 0.923585 23.6127 17.165 25.9105 18.4807 54.4726 0.0196503
"5730" 4566.2 2.89171 29.9206 14.1726 12.246 78.1101 26.7593 10.265 9.83222 19.533 54.0432 40.9826 2.3595 24.8803 18.3379 14.6626 31.4899 4.99475 33.6725 19.3769 6.04035 16.8278 0.010856
"1890" 4590.75 10.2905 12.9555 19.8457 6.93788 82.8815 4.99296 50.9493 18.6564 15.0186 21.106 42.6188 27.1826 1.67692 27.1934 15.8415 8.1556 12.3686 10.2692 14.4589 26.3558 24.3454 0.0138174
"872" 4439.8 21.9769 17.3189 25.6976 10.7306 76.0007 37.1788 19.8354 18.7763 13.5423 37.6449 17.0978 30.1363 16.4376 26.8683 13.3122 6.55927 16.4784 29.3741 9.07311 9.44243 9.12193 0.0066359
"2104" 4544.98 14.6285 1.58283 7.51131 26.6595 74.6077 34.4319 28.5108 5.84069 27.2669 39.3466 15.6329 28.4528 11.71 30.4148 13.4048 14.4194 4.06861 54.7713 6.08625 25.5689 20.7435 0.152916
"197" 4555.87 8.95891 26.9742 11.2646 12.7571 39.45 45.3524 35.6829 27.427 11.9783 50.429 4.84309 33.1556 13.9191 17.5551 31.1221 39.3917 2.62992 3.10692 16.4645 3.36874 16.171 0.00265009
"3328" 4633.66 3.95064 15.3551 10.6673 10.4412 35.7374 49.542 42.5045 23.2942 30.3566 26.8564 16.6137 17.8453 21.9176 28.2414 0.619132 39.2453 23.6583 12.9423 26.6061 2.04876 35.3355 0.0442061
"4190" 4494.14 17.2927 8.5939 9.1479 36.9219 40.1666 50.9032 37.4321 16.6485 6.13595 36.5776 48.3214 11.2693 4.251 36.3203 9.52681 15.7415 36.3192 3.92479 10.1009 9.2728 38.3863 0.000201092
"3305" 4540.45 5.44232 31.8031 4.20077 16.6431 41.9904 38.8075 37.9643 30.6296 6.10105 12.7797 71.2885 2.74478 39.8891 13.8019 6.69773 11.6774 5.80774 0.986584 11.4916 20.7517 48.6521 0.370021
"4508" 4437.05 16.0593 46.4726 7.64468 16.6186 70.6767 19.0271 12.5107 41.8896 6.34419 42.4377 41.9686 6.22789 23.4885 15.3798 15.8418 22.6668 2.02727 31.29 1.136 28.8297 54.2955 0.0308151
"1546" 4471.78 25.434 2.98731 6.25907 46.9997 31.7619 49.4215 52.806 14.8609 1.76021 43.4141 9.83849 13.7351 61.4178 2.08201 10.6262 15.3665 7.07884 3.7593 28.8972 27.5553 16.8726 0.00566297
"3454" 4474.83 15.1484 47.1486 5.98515 24.3764 51.1939 24.8722 36.4281 15.9511 11.1446 15.779 21.1715 62.1088 6.18278 31.1685 4.83046 3.19627 33.6818 43.1923 11.0079 12.069 15.9214 0.0879204
"4468" 4474.26 22.112 26.614 14.3233 11.2036 55.7343 49.2437 20.5974 30.5722 4.25603 12.0766 30.0372 27.3471 16.2619 24.969 31.8262 3.84837 21.1281 24.1831 0.492724 17.438 63.3799 0.0234879
"3674" 4545.59 22.1205 13.2891 18.7049 19.2772 56.1075 23.9988 28.7775 8.37498 69.455 5.15624 24.2557 4.93488 31.5988 29.8708 2.35505 21.2563 12.1633 13.3154 13.0507 10.2395 9.62191 0.00536326
